Series Name,Title ID,Title,ISBN 10,ISBN 13,Imprint,List Price,ISBN ID,Author
Nonfiction — Young Adult,21038,Racial Profiling,1512428515,9781512428513,Twenty-First Century Books ™,53.32,48052,Alison Marie Behnke
Nonfiction — Young Adult,21259,Dogs at War,1512428523,9781512428520,Twenty-First Century Books ™,53.32,48053,Connie Goldsmith
Nonfiction — Young Adult,21260,Ninja Plants,1512428531,9781512428537,Twenty-First Century Books ™,53.32,48054,Wiley Blevins
Nonfiction — Young Adult,20544,De-Extinction,1512439029,9781512439021,Twenty-First Century Books ™,9.99,52336,Rebecca E. Hirsch
Nonfiction — Young Adult,20544,De-Extinction,1512439037,9781512439038,Twenty-First Century Books ™,53.32,52337,Rebecca E. Hirsch
Nonfiction — Young Adult,20544,De-Extinction,1512439045,9781512439045,Twenty-First Century Books ™,9.99,52338,Rebecca E. Hirsch
Nonfiction — Young Adult,21259,Dogs at War,1512439053,9781512439052,Twenty-First Century Books ™,9.99,52339,Connie Goldsmith
Nonfiction — Young Adult,21259,Dogs at War,1512439061,9781512439069,Twenty-First Century Books ™,53.32,52340,Connie Goldsmith
Nonfiction — Young Adult,21259,Dogs at War,151243907X,9781512439076,Twenty-First Century Books ™,9.99,52341,Connie Goldsmith
Nonfiction — Young Adult,20905,Exoplanets,1512439088,9781512439083,Twenty-First Century Books ™,9.99,52342,Karen Latchana Kenney
Nonfiction — Young Adult,20905,Exoplanets,1512439096,9781512439090,Twenty-First Century Books ™,53.32,52343,Karen Latchana Kenney
Nonfiction — Young Adult,20905,Exoplanets,151243910X,9781512439106,Twenty-First Century Books ™,9.99,52344,Karen Latchana Kenney
Nonfiction — Young Adult,19276,Find Your Style,1512439118,9781512439113,Twenty-First Century Books ™,9.99,52345,Sally McGraw
Nonfiction — Young Adult,19276,Find Your Style,1512439126,9781512439120,Twenty-First Century Books ™,53.32,52346,Sally McGraw
Nonfiction — Young Adult,19276,Find Your Style,1512439134,9781512439137,Twenty-First Century Books ™,9.99,52347,Sally McGraw
Nonfiction — Young Adult,21260,Ninja Plants,1512439142,9781512439144,Twenty-First Century Books ™,9.99,52348,Wiley Blevins
Nonfiction — Young Adult,21260,Ninja Plants,1512439150,9781512439151,Twenty-First Century Books ™,53.32,52349,Wiley Blevins
Nonfiction — Young Adult,21260,Ninja Plants,1512439169,9781512439168,Twenty-First Century Books ™,9.99,52350,Wiley Blevins
Nonfiction — Young Adult,21037,Prom,1512439177,9781512439175,Twenty-First Century Books ™,9.99,52351,Jill S. Zimmerman Rutledge
Nonfiction — Young Adult,21037,Prom,1512439185,9781512439182,Twenty-First Century Books ™,53.32,52352,Jill S. Zimmerman Rutledge
Nonfiction — Young Adult,21037,Prom,1512439193,9781512439199,Twenty-First Century Books ™,9.99,52353,Jill S. Zimmerman Rutledge
Nonfiction — Young Adult,21038,Racial Profiling,1512439207,9781512439205,Twenty-First Century Books ™,9.99,52354,Alison Marie Behnke
Nonfiction — Young Adult,21038,Racial Profiling,1512439215,9781512439212,Twenty-First Century Books ™,53.32,52355,Alison Marie Behnke
Nonfiction — Young Adult,21038,Racial Profiling,1512439223,9781512439229,Twenty-First Century Books ™,9.99,52356,Alison Marie Behnke
American Music Milestones,10459,American Country,1512452688,9781512452686,Twenty-First Century Books ™,46.65,54968,Lloyd Sachs
American Music Milestones,10459,American Country,1512452696,9781512452693,Twenty-First Century Books ™,6.99,54969,Lloyd Sachs
American Music Milestones,10459,American Country,151245270X,9781512452709,Twenty-First Century Books ™,6.99,54970,Lloyd Sachs
American Music Milestones,10457,American Hip-Hop,1512452718,9781512452716,Twenty-First Century Books ™,46.65,54971,Nathan Sacks
American Music Milestones,10457,American Hip-Hop,1512452726,9781512452723,Twenty-First Century Books ™,6.99,54972,Nathan Sacks
American Music Milestones,10457,American Hip-Hop,1512452734,9781512452730,Twenty-First Century Books ™,6.99,54973,Nathan Sacks
American Music Milestones,10462,American Latin Music,1512452742,9781512452747,Twenty-First Century Books ™,46.65,54974,Matt Doeden
American Music Milestones,10462,American Latin Music,1512452750,9781512452754,Twenty-First Century Books ™,6.99,54975,Matt Doeden
American Music Milestones,10462,American Latin Music,1512452769,9781512452761,Twenty-First Century Books ™,6.99,54976,Matt Doeden
American Music Milestones,10461,American Pop,1512452777,9781512452778,Twenty-First Century Books ™,46.65,54977,Arie Kaplan
American Music Milestones,10461,American Pop,1512452785,9781512452785,Twenty-First Century Books ™,6.99,54978,Arie Kaplan
American Music Milestones,10461,American Pop,1512452793,9781512452792,Twenty-First Century Books ™,6.99,54979,Arie Kaplan
American Music Milestones,10458,American R & B,1512452807,9781512452808,Twenty-First Century Books ™,46.65,54980,Aaron Mendelson
American Music Milestones,10458,American R & B,1512452815,9781512452815,Twenty-First Century Books ™,6.99,54981,Aaron Mendelson
American Music Milestones,10458,American R & B,1512452823,9781512452822,Twenty-First Century Books ™,6.99,54982,Aaron Mendelson
American Music Milestones,10460,American Rock,1512452831,9781512452839,Twenty-First Century Books ™,46.65,54983,Erik Farseth
American Music Milestones,10460,American Rock,151245284X,9781512452846,Twenty-First Century Books ™,6.99,54984,Erik Farseth
American Music Milestones,10460,American Rock,1512452858,9781512452853,Twenty-First Century Books ™,6.99,54985,Erik Farseth
Nonfiction — Grades 4-8,11278,Elephant Talk,1512452866,9781512452860,Twenty-First Century Books ™,50.65,54986,Ann Downer
Nonfiction — Grades 4-8,11278,Elephant Talk,1512452874,9781512452877,Twenty-First Century Books ™,9.99,54987,Ann Downer
Nonfiction — Grades 4-8,11278,Elephant Talk,1512452882,9781512452884,Twenty-First Century Books ™,9.99,54988,Ann Downer
Nonfiction — Young Adult,10558,Food,1512452890,9781512452891,Twenty-First Century Books ™,47.99,54989,Kathlyn Gay
Nonfiction — Young Adult,10558,Food,1512452904,9781512452907,Twenty-First Century Books ™,9.99,54990,Kathlyn Gay
Nonfiction — Young Adult,10558,Food,1512452912,9781512452914,Twenty-First Century Books ™,9.99,54991,Kathlyn Gay
Nonfiction — Young Adult,11337,Friend Me!,1512452920,9781512452921,Twenty-First Century Books ™,50.65,54992,Francesca Davis DiPiazza
Nonfiction — Young Adult,11337,Friend Me!,1512452939,9781512452938,Twenty-First Century Books ™,9.99,54993,Francesca Davis DiPiazza
Nonfiction — Young Adult,11337,Friend Me!,1512452947,9781512452945,Twenty-First Century Books ™,9.99,54994,Francesca Davis DiPiazza
Nonfiction — Young Adult,11833,"Iceberg, Right Ahead!",1512452955,9781512452952,Twenty-First Century Books ™,50.65,54995,Stephanie Sammartino McPherson
Nonfiction — Young Adult,11833,"Iceberg, Right Ahead!",1512452963,9781512452969,Twenty-First Century Books ™,9.99,54996,Stephanie Sammartino McPherson
Nonfiction — Young Adult,11833,"Iceberg, Right Ahead!",1512452971,9781512452976,Twenty-First Century Books ™,9.99,54997,Stephanie Sammartino McPherson
Nonfiction — Young Adult,12465,Meltdown!,151245298X,9781512452983,Twenty-First Century Books ™,47.99,54998,Fred Bortz
Nonfiction — Young Adult,12465,Meltdown!,1512452998,9781512452990,Twenty-First Century Books ™,9.99,54999,Fred Bortz
Nonfiction — Young Adult,12465,Meltdown!,1512453005,9781512453003,Twenty-First Century Books ™,9.99,55000,Fred Bortz
Nonfiction — Grades 4-8,12937,Tillie Pierce,1512453013,9781512453010,Twenty-First Century Books ™,51.99,55001,Tanya Anderson
Nonfiction — Grades 4-8,12937,Tillie Pierce,1512453021,9781512453027,Twenty-First Century Books ™,9.99,55002,Tanya Anderson
Nonfiction — Grades 4-8,12937,Tillie Pierce,151245303X,9781512453034,Twenty-First Century Books ™,9.99,55003,Tanya Anderson
Nonfiction — Grades 4-8,12574,Wild Animal Neighbors,1512453048,9781512453041,Twenty-First Century Books ™,50.65,55004,Ann Downer
Nonfiction — Grades 4-8,12574,Wild Animal Neighbors,1512453056,9781512453058,Twenty-First Century Books ™,9.99,55005,Ann Downer
Nonfiction — Grades 4-8,12574,Wild Animal Neighbors,1512453064,9781512453065,Twenty-First Century Books ™,9.99,55006,Ann Downer
Nonfiction — Young Adult,15247,Sneaker Century,1512456403,9781512456400,Twenty-First Century Books ™,9.99,55438,Amber J. Keyser
Nonfiction — Young Adult,15247,Sneaker Century,1512456411,9781512456417,Twenty-First Century Books ™,9.99,55439,Amber J. Keyser
Nonfiction — Young Adult,15247,Sneaker Century,151245642X,9781512456424,Twenty-First Century Books ™,51.99,55440,Amber J. Keyser
Nonfiction — Young Adult,13942,Up for Sale,1512456438,9781512456431,Twenty-First Century Books ™,9.99,55441,Alison Marie Behnke
Nonfiction — Young Adult,13942,Up for Sale,1512456446,9781512456448,Twenty-First Century Books ™,9.99,55442,Alison Marie Behnke
Nonfiction — Young Adult,13942,Up for Sale,1512456454,9781512456455,Twenty-First Century Books ™,51.99,55443,Alison Marie Behnke
Nonfiction — Young Adult,20003,Whale Quest,1467792462,9781467792462,Twenty-First Century Books ™,37.32,38543,Karen Romano Young
Nonfiction — Young Adult,21250,Addiction and Overdose,1512409537,9781512409536,Twenty-First Century Books ™,37.32,41448,Connie Goldsmith
Nonfiction — Young Adult,21311,Trashing the Planet,1512413143,9781512413144,Twenty-First Century Books ™,37.32,41737,Stuart A. Kallen
Nonfiction — Young Adult,21391,Black Holes,1512415685,9781512415681,Twenty-First Century Books ™,37.32,43549,Sara Latta
Nonfiction — Young Adult,21392,Geoengineering Earth's Climate,1512415693,9781512415698,Twenty-First Century Books ™,35.99,43550,Jennifer Swanson
Nonfiction — Young Adult,21393,3D Printing,1512415707,9781512415704,Twenty-First Century Books ™,37.32,43551,Melissa Koch
Nonfiction — Young Adult,23176,Artificial Intelligence,1512418269,9781512418262,Twenty-First Century Books ™,35.99,46961,Stephanie Sammartino McPherson
Nonfiction — Young Adult,20003,Whale Quest,1512428477,9781512428476,Twenty-First Century Books ™,55.99,48048,Karen Romano Young
